"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-06-21","15:48:00",5463.81,"9 Jun 27 5425 P STO 9.60 | 9 Jun 27 5525 C STO 4.45 | 9 Jun 28 5425 P BTO 13.70 | 9 Jun 28 5525 C BTO 8.50",-820,5484,"2024-06-27","09:50:00",-465,"Exited at Specified Time",-3281.4,9,148945.6,7380,"",43.2,43.2,0.63,0.138,-6.4,-2.96,6.71,-44.51
"2024-06-14","15:48:00",5425.76,"13 Jun 20 5390 P STO 9.10 | 13 Jun 20 5480 C STO 3.20 | 13 Jun 21 5390 P BTO 11.80 | 13 Jun 21 5480 C BTO 6.20",-575,5461.98,"2024-06-17","12:50:00",-780,"Profit Target",2540.2,13,152227,7475,"",62.4,62.4,0.68,0.63,-9.66,1.68,36.52,-3.48
"2024-06-07","15:48:00",5349.51,"20 Jun 13 5295 P STO 13.90 | 20 Jun 13 5435 C STO 5.95 | 20 Jun 14 5295 P BTO 15.70 | 20 Jun 14 5435 C BTO 7.70",-360,5441.94,"2024-06-12","10:40:00",-490,"Profit Target",2408,20,149686.8,7200,"",96,96,0.85,0.844,-9.15,5.7,38.89,-55.56
"2024-05-31","15:48:00",5249.03,"8 Jun 6 5210 P STO 10.95 | 8 Jun 6 5310 C STO 4.60 | 8 Jun 7 5210 P BTO 15.50 | 8 Jun 7 5310 C BTO 8.70",-870,5279.53,"2024-06-04","10:44:00",-1175,"Profit Target",2363.2,8,147278.8,6960,"",38.4,38.4,0.64,0.532,7.73,5.82,35.63,0
"2024-05-24","15:48:00",5299.81,"14 May 30 5270 P STO 7.60 | 14 May 30 5340 C STO 3.35 | 14 May 31 5270 P BTO 9.90 | 14 May 31 5340 C BTO 5.90",-490,5276.28,"2024-05-29","10:25:00",-665,"Profit Target",2315.6,14,144915.6,6860,"",67.2,67.2,0.69,0.653,13.61,18.36,36.73,-3.06
"2024-05-17","15:48:00",5299.88,"20 May 23 5265 P STO 9.75 | 20 May 23 5365 C STO 3.95 | 20 May 24 5265 P BTO 11.50 | 20 May 24 5365 C BTO 5.50",-335,5308.55,"2024-05-22","13:44:00",-455,"Profit Target",2208,20,142600,6700,"",96,96,0.81,0.682,6,-3.22,37.31,-2.99
"2024-05-10","15:48:00",5221.78,"21 May 16 5175 P STO 12.20 | 21 May 16 5290 C STO 5.70 | 21 May 17 5175 P BTO 13.80 | 21 May 17 5290 C BTO 7.30",-325,5245.44,"2024-05-14","15:04:00",-440,"Profit Target",2213.4,21,140392,6825,"",100.8,100.8,0.85,0.749,11.41,-3.71,36.92,0
"2024-05-03","15:48:00",5128.73,"13 May 9 5085 P STO 10.70 | 13 May 9 5195 C STO 4.70 | 13 May 10 5085 P BTO 13.65 | 13 May 10 5195 C BTO 6.90",-520,5183.46,"2024-05-09","09:50:00",-585,"Exited at Specified Time",720.2,13,138178.6,6760,"",62.4,62.4,0.75,0.401,58.58,5.95,27.88,-7.69
"2024-04-26","15:48:00",5103.44,"7 May 2 5050 P STO 14.10 | 7 May 2 5185 C STO 6.00 | 7 May 3 5050 P BTO 19.00 | 7 May 3 5185 C BTO 9.90",-885,5019.33,"2024-05-01","09:57:00",-845,"Above Delta",-347.2,7,137458.4,6195,"",33.6,33.6,0.7,0.839,36.23,18.79,12.99,-12.43
"2024-04-19","15:48:00",4961.73,"9 Apr 25 4895 P STO 16.05 | 9 Apr 25 5065 C STO 7.55 | 9 Apr 26 4895 P BTO 20.45 | 9 Apr 26 5065 C BTO 10.55",-745,5082.83,"2024-04-24","09:36:00",-810,"Below Delta",498.6,9,137805.6,6705,"",43.2,43.2,0.76,0.795,-5.68,-43.71,14.77,-15.44
"2024-04-12","15:48:00",5120.22,"12 Apr 18 5050 P STO 17.60 | 12 Apr 18 5220 C STO 7.00 | 12 Apr 19 5050 P BTO 20.65 | 12 Apr 19 5220 C BTO 9.25",-535,5024.59,"2024-04-17","12:05:00",-630,"Above Delta",1024.8,12,137307,6420,"",57.6,57.6,0.82,0.855,-27.55,-51.29,46.73,-13.08
"2024-04-05","15:48:00",5204.5,"13 Apr 11 5140 P STO 15.65 | 13 Apr 11 5295 C STO 6.15 | 13 Apr 12 5140 P BTO 18.80 | 13 Apr 12 5295 C BTO 8.10",-515,5150.11,"2024-04-10","14:27:00",-700,"Profit Target",2280.2,13,136282.2,6695,"",62.4,62.4,0.81,0.715,11.74,45.55,50.49,-20.39
"2024-03-15","15:48:00",5118.58,"15 Mar 21 5060 P STO 13.55 | 15 Mar 21 5210 C STO 6.80 | 15 Mar 22 5060 P BTO 16.00 | 15 Mar 22 5210 C BTO 8.55",-425,5223.77,"2024-03-20","15:28:00",-525,"Below Delta",1356,15,134002,6375,"",72,72,0.83,0.827,-27.17,-4.73,31.76,-3.53
